shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
canonical-8000008,42.347831,-71.085554,100007,
canonical-8000008,42.347829,-71.085651,100008,
canonical-8000008,42.348012,-71.087419,100009,
canonical-8000008,42.348034,-71.087653,100010,
canonical-8000008,42.348058,-71.087953,100011,
canonical-8000008,42.348058,-71.087953,110001,
canonical-8000008,42.348076,-71.088178,110002,
canonical-8000008,42.348082,-71.088564,110003,
canonical-8000008,42.347988,-71.091707,110004,
canonical-8000008,42.347998,-71.091797,110005,
canonical-8000008,42.348019,-71.091888,110006,
canonical-8000008,42.348056,-71.092005,110007,
canonical-8000008,42.348133,-71.092174,110008,
canonical-8000008,42.348184,-71.092252,110009,
canonical-8000008,42.348640,-71.092792,110010,
canonical-8000008,42.348905,-71.093123,110011,
canonical-8000008,42.348948,-71.093214,110012,
canonical-8000008,42.348962,-71.093277,110013,
canonical-8000008,42.348968,-71.093383,110014,
canonical-8000008,42.348969,-71.094102,110015,
canonical-8000008,42.348967,-71.094129,110016,
canonical-8000008,42.348967,-71.094129,120001,
canonical-8000008,42.348965,-71.094152,120002,
canonical-8000008,42.348875,-71.094781,120003,
canonical-8000008,42.348877,-71.094806,120004,
canonical-8000008,42.348855,-71.095352,120005,
canonical-8000008,42.348837,-71.095780,120006,
canonical-8000008,42.348825,-71.096785,120007,
canonical-8000008,42.348813,-71.096873,120008,
canonical-8000008,42.348813,-71.096873,130001,
canonical-8000008,42.348799,-71.096973,130002,
canonical-8000008,42.347639,-71.101425,130003,
canonical-8000008,42.347571,-71.101503,130004,
canonical-8000008,42.347522,-71.101549,130005,
canonical-8000008,42.347434,-71.101590,130006,
canonical-8000008,42.347142,-71.101644,130007,
canonical-8000008,42.346908,-71.101705,130008,
canonical-8000008,42.346797,-71.101747,130009,
canonical-8000008,42.346698,-71.101812,130010,
canonical-8000008,42.346617,-71.101917,130011,
canonical-8000008,42.346144,-71.102791,130012,
canonical-8000008,42.345827,-71.103363,130013,
canonical-8000008,42.345386,-71.104182,130014,
canonical-8000008,42.345386,-71.104182,140001,
canonical-8000008,42.345358,-71.104235,140002,
canonical-8000008,42.345282,-71.104368,140003,
canonical-8000008,42.345245,-71.104438,140004,
canonical-8000008,42.345173,-71.104555,140005,
canonical-8000008,42.345016,-71.104837,140006,
canonical-8000008,42.344864,-71.105111,140007,
canonical-8000008,42.344184,-71.106194,140008,
canonical-8000008,42.343815,-71.106764,140009,
canonical-8000008,42.343227,-71.107691,140010,
canonical-8000008,42.342469,-71.108901,140011,
canonical-8000008,42.342287,-71.109172,140012,
canonical-8000008,42.342120,-71.109397,140013,
canonical-8000008,42.341917,-71.109651,140014,
canonical-8000008,42.341655,-71.109936,140015,
canonical-8000008,42.341432,-71.110169,140016,
canonical-8000008,42.341201,-71.110375,140017,
canonical-8000008,42.341134,-71.110424,140018,
canonical-8000008,42.341134,-71.110424,150001,
canonical-8000008,42.340896,-71.110600,150002,
canonical-8000008,42.340660,-71.110736,150003,
canonical-8000008,42.340489,-71.110822,150004,
canonical-8000008,42.340417,-71.110849,150005,
canonical-8000008,42.340321,-71.110899,150006,
